,0,1,2,3
570,0.0,0.356,38.0,1.45
571,4.0,0.179,48.0,1.65
572,0.0,0.194,15.0,0.0
573,0.0,0.286,15.0,0.0
574,0.0,0.185,7.0,0.0
575,1.0,1.009,30.0,2.4
576,1.0,1.057,103.0,7.05
577,1.0,0.666,36.0,3.24
578,3.0,0.238,66.0,1.19
579,1.0,0.806,39.0,3.85
580,0.0,0.217,10.0,3.69
581,4.0,0.21,58.0,0.77
582,2.0,0.344,70.0,2.34
583,1.0,1.421,25.0,6.85
584,1.0,9.008,537.0,16.48
585,1.0,1.614,150.0,4.69
586,4.0,0.1,1.0,1.0
587,1.0,0.666,36.0,3.24
588,1.0,6.661,302.0,9.0
589,2.0,0.693,34.0,2.96
590,1.0,1.406,62.0,3.24
591,1.0,9.008,537.0,16.48
592,1.0,0.4,15.0,1.15
593,0.0,0.153,8.0,0.0
594,2.0,0.344,43.0,2.42
595,1.0,3.599,390.0,7.14
596,0.0,0.207,12.0,0.0
597,3.0,0.309,67.0,1.55
598,1.0,9.027,248.0,11.71
599,0.0,0.21,7.0,1.46
600,0.0,0.337,6.0,1.02
601,2.0,0.396,55.0,2.6
602,2.0,0.373,48.0,2.58
603,2.0,0.464,42.0,3.2
604,2.0,0.464,42.0,3.2
605,0.0,0.217,14.0,0.0
606,1.0,0.443,70.0,2.97
607,2.0,0.544,83.0,4.17
608,1.0,0.443,70.0,2.97
609,1.0,2.153,218.0,12.03
610,1.0,2.153,218.0,12.03
611,0.0,4.133,279.0,20.97
612,0.0,0.476,36.0,2.94
613,1.0,1.46,93.0,2.49
614,4.0,0.1,1.0,1.0
615,4.0,0.1,3.0,0.0
616,4.0,0.1,3.0,0.0
617,0.0,0.252,12.0,1.36
618,1.0,1.057,103.0,7.05
619,1.0,1.614,150.0,4.69
620,1.0,1.614,150.0,4.69
621,1.0,1.778,288.0,12.87
622,1.0,1.614,150.0,4.69
623,1.0,1.614,150.0,4.69
624,3.0,0.304,58.0,0.68
625,1.0,1.085,143.0,7.08
626,1.0,0.667,56.0,4.14
627,1.0,1.055,58.0,4.81
628,1.0,1.614,150.0,4.69
629,0.0,0.345,55.0,0.94
630,0.0,0.254,83.0,1.31
631,1.0,1.567,208.0,3.51
632,0.0,4.392,1.0,0.0
633,1.0,0.98,87.0,6.69
634,2.0,0.547,85.0,3.39
635,1.0,0.684,43.0,3.39
636,3.0,0.336,58.0,2.0
637,2.0,0.365,38.0,2.64
638,1.0,2.947,54.0,6.52
639,1.0,1.614,150.0,4.69
640,0.0,0.326,189.0,4.4
641,1.0,1.372,114.0,4.89
642,1.0,0.976,84.0,2.77
643,2.0,0.693,34.0,2.96
644,1.0,0.622,62.0,2.34
645,1.0,0.806,124.0,4.41
646,1.0,0.734,114.0,2.89
647,0.0,0.139,10.0,0.0
648,2.0,0.314,98.0,4.12
649,1.0,0.547,67.0,1.71
650,2.0,0.495,11.0,3.64
651,1.0,3.204,113.0,9.48
652,1.0,0.734,114.0,2.89
653,0.0,0.331,32.0,0.0
654,1.0,2.565,64.0,6.1
655,4.0,0.1,1.0,1.0
656,1.0,0.976,84.0,2.77
657,1.0,0.99,332.0,3.04
658,1.0,3.599,390.0,7.14
659,1.0,2.153,218.0,12.03
660,0.0,0.137,10.0,0.54
661,0.0,0.239,49.0,1.35
662,0.0,0.314,86.0,3.4
663,4.0,0.167,13.0,0.63
664,0.0,0.25,15.0,1.69
665,0.0,0.286,15.0,0.0
666,1.0,2.089,56.0,2.59
667,1.0,2.546,129.0,13.58
668,1.0,0.666,36.0,3.24
669,1.0,1.057,103.0,7.05
670,3.0,0.268,11.0,0.67
671,1.0,1.124,106.0,4.82
672,2.0,1.337,51.0,3.89
673,0.0,0.251,14.0,0.0
674,1.0,1.816,152.0,5.55
675,2.0,0.344,70.0,2.34
676,1.0,1.005,144.0,8.0
677,4.0,0.1,1.0,1.0
678,4.0,0.179,10.0,0.76
679,1.0,2.628,182.0,4.71
680,1.0,1.614,150.0,4.69
681,3.0,0.304,58.0,0.68
682,0.0,0.949,164.0,5.61
683,1.0,1.085,143.0,7.08
684,1.0,0.718,55.0,3.17
685,1.0,1.068,105.0,3.91
686,4.0,0.1,1.0,1.0
687,1.0,1.567,208.0,3.51
688,0.0,0.136,4.0,0.0
689,0.0,0.136,4.0,0.0
690,1.0,1.591,153.0,8.41
691,1.0,2.153,218.0,12.03
692,0.0,0.123,4.0,0.58
693,0.0,0.261,8.0,0.0
694,3.0,0.304,58.0,0.68
695,3.0,0.3,34.0,2.3
696,1.0,2.153,218.0,12.03
697,4.0,0.1,1.0,1.0
698,1.0,1.587,125.0,3.26
699,0.0,0.187,9.0,0.0
700,0.0,0.511,26.0,3.1
701,0.0,0.123,11.0,1.02
