,0,1,2,3
710,1.0,2.824,81.0,6.13
711,1.0,2.823,252.0,11.83
712,1.0,2.818,133.0,8.11
713,1.0,2.814,24.0,6.48
714,1.0,2.812,26.0,5.49
715,1.0,2.811,276.0,5.5
716,1.0,2.806,80.0,5.48
717,1.0,2.803,66.0,9.55
718,1.0,2.802,68.0,6.42
719,1.0,2.801,79.0,3.43
720,1.0,2.801,110.0,12.24
721,1.0,2.801,127.0,4.93
722,1.0,2.792,246.0,4.25
723,1.0,2.782,142.0,4.7
724,1.0,2.781,100.0,3.5
725,1.0,2.78,134.0,4.88
726,1.0,2.779,45.0,5.93
727,1.0,2.776,107.0,15.73
728,1.0,2.775,135.0,4.59
729,1.0,2.774,219.0,5.35
730,1.0,2.773,82.0,11.49
731,1.0,2.772,191.0,13.68
732,1.0,2.772,63.0,3.17
733,1.0,2.771,120.0,9.6
734,1.0,2.771,38.0,2.0
735,1.0,2.77,114.0,16.16
736,1.0,2.769,99.0,3.37
737,1.0,2.768,131.0,4.03
738,1.0,2.766,104.0,4.8
739,1.0,2.766,135.0,4.1
740,1.0,2.765,32.0,7.88
741,1.0,2.762,144.0,7.68
742,1.0,2.761,209.0,4.78
743,1.0,2.757,187.0,5.43
744,1.0,2.757,34.0,1.88
745,1.0,2.756,23.0,1.61
746,1.0,2.755,151.0,3.84
747,1.0,2.753,272.0,5.42
748,1.0,2.752,81.0,9.95
749,1.0,2.747,109.0,6.9
750,1.0,2.746,21.0,5.71
751,1.0,2.743,192.0,10.03
752,1.0,2.74,47.0,4.58
753,1.0,2.737,372.0,4.61
754,1.0,2.737,65.0,4.23
755,1.0,2.735,89.0,8.31
756,1.0,2.734,83.0,5.86
757,1.0,2.731,111.0,9.24
758,1.0,2.731,63.0,4.31
759,1.0,2.729,40.0,4.04
760,1.0,2.728,64.0,7.0
761,1.0,2.724,62.0,3.85
762,1.0,2.721,139.0,3.51
763,1.0,2.717,173.0,5.27
764,1.0,2.717,61.0,9.69
765,1.0,2.715,59.0,9.78
766,1.0,2.715,122.0,5.23
767,1.0,2.71,65.0,11.84
768,1.0,2.704,186.0,3.73
769,1.0,2.704,219.0,5.66
770,1.0,2.703,82.0,7.69
771,1.0,2.703,75.0,6.52
772,1.0,2.703,177.0,8.45
773,1.0,2.702,72.0,7.72
774,1.0,2.702,27.0,2.9
